id,date,vendor,description,amount
INV-001,2025-01-15,스타벅스 강남역점,팀 미팅 커피,25200
INV-002,2025-01-16,KTX 코레일,서울→부산 출장 왕복,106400
INV-003,2025-01-18,한우마을,부서 신년회 회식 (8명),480000
INV-004,2025-01-20,카카오택시,고객사 미팅 이동,45000
INV-005,2025-01-20,카카오택시,사무실 복귀,45000
INV-006,2025-01-10,Adobe Inc.,Creative Cloud 연간 구독,792000
INV-007,2025-01-22,알파문구,A4용지 10박스 + 토너 2개,185000
INV-008,2025-01-23,호텔 부산,부산 출장 1박,130000
INV-009,2025-01-25,쿠팡,사무실 비품 구매,1250000
INV-010,2025-01-27,교보문고,업무 참고 도서 3권,67500
INV-011,2025-01-28,AWS,EC2 + S3 월간 사용료,345000
INV-012,2025-01-28,팀원 점심,팀 점심 식사 (5명),89000
